"filename", "language", "Svelte", "PostCSS", "TypeScript", "JSON", "JavaScript", "JSON with Comments", "XML", "HTML", "Markdown", "Python", "C++", "pip requirements", "comment", "blank", "total"
"/Users/haack/Developer/wall-e/client/src/lib/components/Icons/square-plus.svelte", "Svelte", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 20
"/Users/haack/Developer/wall-e/client/src/lib/components/Icons/star.svelte", "Svelte", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 20
"/Users/haack/Developer/wall-e/client/src/lib/components/Icons/thumbs-up.svelte", "Svelte", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 20
"/Users/haack/Developer/wall-e/client/src/lib/components/Icons/x-circle.svelte", "Svelte", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 20
"/Users/haack/Developer/wall-e/client/src/lib/components/Stepper/Stepper.svelte", "Svelte", 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 49
"/Users/haack/Developer/wall-e/client/src/lib/components/Stepper/StepperIcon.svelte", "Svelte", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 22
"/Users/haack/Developer/wall-e/client/src/lib/components/Stepper/StepperText.svelte", "Svelte", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"/Users/haack/Developer/wall-e/client/src/lib/layout/Footer.svelte", "Svelte", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/haack/Developer/wall-e/client/src/lib/layout/Header.svelte", "Svelte", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 23
"/Users/haack/Developer/wall-e/client/src/lib/toast.ts", "TypeScript", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 5
"/Users/haack/Developer/wall-e/client/src/main.ts", "TypeScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 10
"/Users/haack/Developer/wall-e/client/src/stores/gamepad.ts", "TypeScript", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"/Users/haack/Developer/wall-e/client/src/stores/servo.ts", "TypeScript", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"/Users/haack/Developer/wall-e/client/src/stores/websocket.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"/Users/haack/Developer/wall-e/client/src/vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 3
"/Users/haack/Developer/wall-e/client/svelte.config.js", "JavaScript", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 2, 2, 14
